Results from heasarc_fermigbrst: Fermi GBM Burst Catalog
Coordinate system: Equatorial
|name        |ra        |dec      |trigger_time           |
|GRB081102365|15 01 12.0|+22 00 00|2008-11-02 08:45:00.506|
|GRB081102739|22 04 48.0|+53 00 00|2008-11-02 17:44:21.599|
|GRB081105614|14 23 12.0|+38 42 00|2008-11-05 14:43:51.287|
|GRB081107321|03 24 00.0|+17 06 00|2008-11-07 07:42:01.115|
|GRB081109293|22 03 12.0|-54 42 00|2008-11-09 07:02:02.415|
|GRB081110601|07 26 48.0|+21 24 00|2008-11-10 14:25:43.032|
|GRB081113230|11 21 12.0|+56 18 00|2008-11-13 05:31:32.897|
|GRB081115891|12 42 24.0|+63 18 00|2008-11-15 21:22:28.147|
|GRB081118876|03 38 24.0|-43 18 00|2008-11-18 21:00:53.536|
|GRB081119184|23 06 00.0|+30 00 00|2008-11-19 04:25:27.059|
|GRB081120618|13 41 36.0|-09 06 00|2008-11-20 14:49:34.567|
|GRB081121858|05 57 12.0|-60 36 00|2008-11-21 20:35:27.754|
|GRB081122520|22 36 24.0|+40 00 00|2008-11-22 12:28:12.211|
|GRB081122614|10 05 36.0|-02 06 00|2008-11-22 14:43:26.232|
|GRB081124060|22 40 24.0|-14 36 00|2008-11-24 01:26:10.848|
|GRB081125496|02 50 48.0|-18 54 00|2008-11-25 11:53:39.003|
|GRB081126899|21 34 00.0|+48 42 00|2008-11-26 21:34:09.065|
|GRB081129161|04 12 48.0|-54 54 00|2008-11-29 03:52:04.260|
|GRB081130212|02 16 48.0|+45 24 00|2008-11-30 05:04:40.719|
|GRB081130629|00 52 48.0|-05 30 00|2008-11-30 15:05:15.722|
|GRB081204004|04 13 12.0|-62 36 00|2008-12-04 00:05:24.244|
|GRB081204517|10 03 12.0|+30 30 00|2008-12-04 12:24:25.793|
|GRB081206275|08 00 24.0|+32 48 00|2008-12-06 06:35:53.018|
|GRB081206604|23 33 12.0|-31 54 00|2008-12-06 14:29:30.693|
