theta,phi,time,NN,NP,NT,NB,PN,PP,PT,PB
19.42 ,43.40 ,744.0957,0.03195318,0.036510114,0.0533664,0.040007042,1.401519581,0.820373853,3.71947472,1.263248861
18.76 ,95.92 ,728.1925,0.036531393,0.039222533,0.069204741,0.051399665,1.090866593,1.227952837,3.74176828,1.163287302
19.84 ,128.38 ,615.6726,0.047506838,0.049071909,0.06875086,0.04368331,0.829177241,1.458553691,3.739826229,1.269543306
20.26 ,213.37 ,1501.015,0.825746335,1.464139097,3.696633972,1.321385908,0.018827722,0.017855322,0.029711017,0.021677206
19.63 ,265.89 ,1119.9499,1.151835786,1.265633334,3.748432492,1.216563201,0.025898227,0.026406462,0.050558537,0.036150062
20.47 ,75.86 ,702.1239,0.039294848,0.042902377,0.073019162,0.054165047,1.346314689,1.075020417,3.729026655,1.273052323
21.47 ,108.32 ,693.5498,0.040683409,0.043878288,0.075334652,0.056130207,1.026411922,1.451166642,3.722590532,1.306570538
20.87 ,160.84 ,831.8963,0.075430124,0.098214576,0.045700861,0.030301073,0.832272739,1.37335705,3.604141618,1.290830611
21.07 ,23.33 ,539.8905,0.222069991,0.05458182,0.053053108,0.039934795,1.411159946,0.867194273,3.639857361,1.338075431
21.27 ,245.83 ,1000.5223,0.971500229,1.509006122,3.73773716,1.342927634,0.026401075,0.026323867,0.051457105,0.037177687
20.67 ,298.35 ,992.1979,1.465774221,0.963645471,3.747685909,1.3424138,0.021340677,0.025380982,0.032851038,0.023057601
22.43 ,140.78 ,665.4214,0.048946933,0.043246335,0.071865413,0.039812535,0.830900307,1.590075729,3.674019963,1.248809721
21.86 ,193.30 ,2269.5077,0.839842683,1.368992999,3.557687448,1.42902079,0.014148845,0.015936709,0.020350833,0.014349487
22.24 ,278.29 ,988.0437,1.385947944,1.222866198,3.718290136,1.317187953,0.026899106,0.029310438,0.055662262,0.039227349
21.66 ,330.81 ,806.7408,1.50520118,0.905617357,3.673853833,1.369629207,0.074415663,0.032536064,0.03827624,0.03140718
22.05 ,55.80 ,685.7175,0.037270452,0.042689668,0.067461534,0.049964699,1.552718097,0.899631394,3.708107584,1.2896193
22.80 ,225.77 ,1211.5417,0.82923702,1.635382722,3.689473007,1.292345282,0.022752381,0.021859736,0.040306614,0.029208956
23.17 ,310.75 ,905.6711,1.633587072,0.902177344,3.708049979,1.321945152,0.025462511,0.027392849,0.03336792,0.027343469
22.98 ,88.26 ,680.4204,0.042376679,0.044456076,0.079740099,0.060027653,1.321187969,1.306662065,3.671265207,1.234325337
23.88 ,120.72 ,670.3799,0.040633977,0.042271466,0.073310973,0.055419893,0.920438429,1.673028207,3.679212574,1.296654476
24.23 ,205.70 ,2215.3494,0.879398302,1.628674292,3.601953765,1.394071667,0.014239641,0.014252488,0.020235376,0.014843435
23.71 ,258.23 ,848.3846,1.184183484,1.528034805,3.69301715,1.370751975,0.031106729,0.031173821,0.058892404,0.041012385
23.53 ,35.73 ,708.7484,0.036214226,0.038967724,0.053584206,0.042707891,1.625515683,0.877654332,3.657510674,1.273148333
24.41 ,68.19 ,581.9377,0.043931047,0.04593617,0.081378632,0.060670676,1.606857696,1.068003719,3.663966706,1.318818699
25.26 ,100.66 ,566.3677,0.04531104,0.047234893,0.086027804,0.064147568,1.224044144,1.567480577,3.641257466,1.352152638
24.75 ,153.18 ,1028.6393,0.029730741,0.026991655,0.056137425,0.029849316,0.874120145,1.652312999,3.589807123,1.302540042
25.09 ,238.16 ,1012.7984,0.941439453,1.754416499,3.677085393,1.313651664,0.028011958,0.027867443,0.052278552,0.036076737
24.58 ,290.69 ,1037.2025,1.629749783,1.116807004,3.688415955,1.377568695,0.023734829,0.030108542,0.0418564,0.028277961
25.43 ,323.15 ,810.9562,1.762584417,0.933868432,3.639370587,1.304032717,0.032427101,0.033695508,0.040879806,0.034111626
26.09 ,133.12 ,754.9171,0.037176982,0.037090812,0.065553849,0.048664523,0.852016926,1.812117995,3.628350609,1.222257223
26.41 ,218.10 ,1491.0064,0.879523947,1.828767153,3.608939698,1.268430781,0.018089705,0.016437253,0.025242146,0.017751579
25.92 ,270.63 ,782.8978,1.444483648,1.4586869,3.637257936,1.367921113,0.032374065,0.033381536,0.059876961,0.03774897
25.76 ,48.13 ,696.2423,0.036455952,0.042423914,0.062797903,0.045156796,1.76729323,0.883748806,3.644783524,1.235572394
27.36 ,113.06 ,567.9944,0.04561791,0.047779624,0.084020559,0.063033314,1.073670794,1.802905969,3.612110976,1.320958087
26.89 ,165.58 ,969.6204,0.064204533,0.097849855,0.04119707,0.026248718,0.872925033,1.606752824,3.455647978,1.421095554
27.21 ,250.56 ,797.9323,1.144719526,1.782518184,3.631341462,1.397430952,0.033812388,0.033735959,0.058871057,0.047554403
27.05 ,28.07 ,651.9943,0.051083619,0.042790014,0.05764991,0.047161305,1.770641059,0.933080471,3.550230481,1.338113958
26.73 ,303.09 ,807.5525,1.831420403,0.999730081,3.646055458,1.308169658,0.02701565,0.030217654,0.035655019,0.029668883
26.57 ,80.59 ,531.3761,0.046458508,0.048738587,0.088364511,0.066068712,1.575541762,1.308030426,3.603380668,1.362721701
28.13 ,145.52 ,964.0183,0.034380676,0.029104642,0.054291271,0.034093889,0.899359171,1.894998573,3.561520855,1.219957285
27.67 ,198.04 ,2203.0558,0.90170293,1.715544266,3.48481423,1.53543252,0.012634176,0.013125074,0.01742874,0.013427733
28.43 ,230.50 ,1029.3161,0.895641164,1.961373175,3.595200404,1.212526315,0.027827087,0.026788262,0.048453496,0.03401264
27.98 ,283.02 ,933.0527,1.710496188,1.321766465,3.606644578,1.446005201,0.027983346,0.034092448,0.060842644,0.040837733
27.52 ,335.55 ,378.6954,1.780502678,0.981416709,3.551235528,1.452859179,0.490595626,0.158453712,0.086919253,0.057105176
27.83 ,60.53 ,638.0832,0.039084267,0.047698863,0.079143412,0.052675194,1.842293721,1.017235921,3.601041156,1.265421656
29.32 ,125.45 ,699.3382,0.04141057,0.043334885,0.077891172,0.057520171,0.933322043,1.984945881,3.561797367,1.184471365
29.18 ,262.96 ,1154.4035,1.425970828,1.715334227,3.558598203,1.481352815,0.026283992,0.025495085,0.048549488,0.022152795
28.73 ,315.49 ,640.9316,1.949677146,0.932496209,3.59511727,1.218800367,0.034267184,0.036500069,0.044264422,0.040261721
29.03 ,40.47 ,554.0953,0.042506425,0.045280019,0.063924732,0.05144356,1.947495724,0.917560576,3.558506099,1.184713419
28.58 ,92.99 ,528.4502,0.047731297,0.050224034,0.091246484,0.068504106,1.461436306,1.599998631,3.550973093,1.397948449
30.47 ,105.39 ,545.1291,0.048016126,0.053013145,0.093026584,0.06957043,1.275589643,1.876238718,3.520317452,1.392944994
30.05 ,157.92 ,1258.8319,0.022420866,0.021526228,0.037729841,0.02237242,0.931612502,1.876625201,3.449263894,1.362514935
29.61 ,210.44 ,1894.3686,0.931117791,1.964347682,3.515536043,1.304454294,0.014725107,0.014944019,0.019545481,0.014744422
30.33 ,242.90 ,825.3919,1.070668285,2.018605751,3.552553819,1.303623361,0.032584057,0.03080585,0.053868368,0.050139549
29.90 ,295.42 ,884.8894,1.953692101,1.144176331,3.563644736,1.345116019,0.027296444,0.029373198,0.036816429,0.028661037
29.76 ,72.93 ,502.5381,0.047207107,0.049545214,0.091267073,0.069059102,1.832347685,1.252537624,3.540743343,1.371303746
31.17 ,137.85 ,865.0521,0.033388446,0.032227558,0.062100441,0.040325572,0.891171646,2.091341515,3.504005529,1.120383515
30.75 ,190.38 ,2515.4262,0.875637715,1.734472299,3.338618507,1.740360506,0.012363135,0.014335029,0.017829486,0.013741845
31.45 ,222.84 ,1313.5182,0.894079842,2.119270675,3.510439508,1.148217502,0.0220167,0.019915008,0.031160146,0.021750506
31.03 ,275.36 ,1062.7298,1.71996512,1.55934246,3.508349334,1.519115063,0.026160242,0.022805089,0.046371496,0.022361306
30.61 ,327.88 ,534.0061,2.018590241,1.01557633,3.517591259,1.307633516,0.063657198,0.046899694,0.055952249,0.049381723
30.89 ,52.87 ,552.5673,0.043219952,0.045375799,0.066382432,0.049886155,2.046333008,0.958248282,3.517290292,1.134556843
32.26 ,117.79 ,664.0538,0.04559462,0.048496708,0.085966707,0.065064325,1.07268278,2.100254621,3.476058665,1.223548503
31.86 ,170.31 ,641.6068,0.440093608,0.478570353,0.073157776,0.038039509,0.84900407,1.623608362,3.277994317,1.29223437
32.13 ,255.30 ,1145.1457,1.353624763,1.967400158,3.490843119,1.472491466,0.024266843,0.028488245,0.046233041,0.03032024
31.72 ,307.82 ,642.3628,2.112186014,1.001211716,3.530086669,1.16450745,0.036127599,0.038849194,0.045121523,0.042925258
31.99 ,32.81 ,518.8436,0.050229295,0.051075592,0.068949698,0.059640431,2.080558513,0.98345198,3.470005812,1.24010722
31.58 ,85.33 ,499.6767,0.048876945,0.050585644,0.09401916,0.072074575,1.719879353,1.556161524,3.471133685,1.468171632
32.93 ,150.25 ,1234.0629,0.023094908,0.022152662,0.039244871,0.023368357,0.971000864,2.126530373,3.415858799,1.237030484
32.53 ,202.78 ,2088.9422,0.964364815,2.030133645,3.397031586,1.45491338,0.01405421,0.014309175,0.018098615,0.014007499
33.19 ,235.24 ,1118.1864,0.984412098,2.212445666,3.469814309,1.134414393,0.025088252,0.023793843,0.042755472,0.023586593
32.79 ,287.76 ,994.4884,2.002674794,1.353193339,3.480326255,1.439925233,0.024831936,0.025743612,0.033654346,0.025416554
33.45 ,320.22 ,482.5348,2.206400422,0.997453248,3.460121856,1.127866498,0.048380468,0.048102419,0.056696651,0.05738756
32.66 ,65.27 ,573.2101,0.040301658,0.050096904,0.083773826,0.055373995,2.061448946,1.160818253,3.46022572,1.26318957
33.32 ,97.73 ,533.6447,0.048325686,0.052660751,0.09569141,0.072324726,1.523580957,1.874614533,3.427070525,1.455309402
33.97 ,130.19 ,677.8847,0.038600748,0.038684715,0.074400602,0.054164598,0.916323938,2.242166064,3.43964691,1.010420758
34.22 ,215.18 ,1483.8315,0.963820473,2.246440215,3.411793338,1.165010623,0.017470255,0.016966094,0.020988418,0.016982534
33.84 ,267.70 ,1366.2881,1.68131012,1.818083505,3.421203396,1.485763131,0.018134086,0.016747397,0.022591727,0.01673847
34.47 ,300.16 ,638.2492,2.218229266,1.128517912,3.444139409,1.210500908,0.035850839,0.037073895,0.044667037,0.042214554
33.71 ,45.21 ,489.659,0.049162826,0.051886252,0.076006841,0.059990106,2.205385735,0.916872997,3.443083325,1.034237722
34.35 ,77.67 ,509.8119,0.050529001,0.050983571,0.095539368,0.072412142,1.974259638,1.474384584,3.401265309,1.396142786
34.98 ,110.13 ,551.7325,0.04755935,0.051811247,0.092038469,0.067728228,1.279098915,2.149168262,3.391046496,1.318043936
34.60 ,162.65 ,1397.6236,0.022131752,0.0256662,0.029453731,0.01963873,0.940503461,2.024633497,3.28031661,1.351994633
35.23 ,195.11 ,1971.8853,0.935687438,2.026717633,3.255835091,1.612059974,0.014937993,0.031962563,0.017882293,0.016288495
34.85 ,247.64 ,889.3568,1.235724332,2.199050787,3.425467528,1.350208607,0.029230222,0.028539925,0.05489924,0.042039588
34.73 ,25.14 ,474.3614,0.165049725,0.067058682,0.077883723,0.066013033,2.145406434,1.020442185,3.350551406,1.390713419
35.47 ,280.10 ,1067.1677,1.998235546,1.599120285,3.385964944,1.400602732,0.022744541,0.022051156,0.035755028,0.025468552
35.10 ,332.62 ,353.081,2.207538062,1.086583003,3.388174984,1.369113238,0.303901938,0.078865731,0.081306896,0.069388947
35.35 ,57.60 ,558.3305,0.045002085,0.049327528,0.070845516,0.054526798,2.266255496,1.058874307,3.396528743,1.076263463
35.60 ,142.59 ,1120.9695,0.026023375,0.02370938,0.042856056,0.025377778,0.956416166,2.319504243,3.36726155,1.028596123
35.84 ,227.57 ,1357.4605,0.920280022,2.358609913,3.39208596,0.985821341,0.020950579,0.018734221,0.031858658,0.018928901
36.45 ,260.04 ,1285.9967,1.579734678,2.078777136,3.353482232,1.333284864,0.019854333,0.018738317,0.023948499,0.018621341
36.09 ,312.56 ,465.3242,2.352768172,0.993236064,3.398218657,0.993078791,0.048763166,0.049951446,0.059186828,0.064700098
36.33 ,37.54 ,439.3449,0.056884394,0.058781466,0.08307324,0.07046928,2.329965179,0.992483231,3.346175689,1.025945728
35.97 ,90.07 ,463.3503,0.047795107,0.048891929,0.093984468,0.070047428,1.791934836,1.816336927,3.320193707,1.280929939
36.57 ,122.53 ,667.6555,0.043217326,0.046182922,0.083992754,0.061412813,1.042994773,2.359847455,3.350228773,1.047190453
37.17 ,154.99 ,1457.1228,0.018934473,0.019403231,0.030117698,0.020396551,1.018510571,2.285158719,3.259963192,1.249828667
36.81 ,207.51 ,1775.1442,1.015106079,2.306011539,3.302982626,1.296709207,0.015560639,0.016392036,0.018581611,0.01523999
37.40 ,239.97 ,1209.5738,1.104193353,2.401407523,3.342982729,1.129278496,0.022641501,0.020228111,0.028829596,0.019485271
37.05 ,292.50 ,726.9133,2.270621275,1.327696638,3.348999706,1.272028473,0.030588686,0.031494769,0.039067832,0.036148232
36.93 ,70.00 ,608.7537,0.042082679,0.05075835,0.08946827,0.060956771,2.202999203,1.348782928,3.327784198,1.222394637
37.52 ,102.47 ,538.8567,0.046379434,0.050068964,0.092856953,0.06622292,1.532045413,2.151403629,3.299285182,1.207517643
38.11 ,134.93 ,907.6536,0.033160657,0.030222201,0.05463916,0.037483234,0.9099494,2.461404997,3.298412597,0.864219675
37.76 ,187.45 ,2056.5101,0.843285466,1.953407369,3.087496333,1.662862856,0.014704858,0.016535552,0.019985401,0.016729297
38.34 ,219.91 ,1428.207,0.951076902,2.47824116,3.290714238,0.954396174,0.019038846,0.018176291,0.023454105,0.017456071
37.99 ,272.43 ,1194.9292,1.941496114,1.864471169,3.280610068,1.21145016,0.020707387,0.018237199,0.022432435,0.020578093
37.64 ,324.96 ,384.158,2.410424616,1.074935819,3.32145516,1.100039668,0.069649423,0.060007936,0.072771529,0.071787272
37.87 ,49.94 ,452.1232,0.054611236,0.056724465,0.084466217,0.067569377,2.41317276,0.972948669,3.306448195,0.877304818
38.45 ,82.40 ,494.2172,0.048520183,0.048536636,0.092367686,0.066824253,2.057229424,1.712026998,3.258840223,1.140265427
39.02 ,114.86 ,570.1387,0.045489126,0.048519833,0.08677805,0.062396905,1.232235471,2.41065985,3.260698234,1.088451609
38.68 ,167.39 ,1406.7416,0.027320638,0.041985287,0.043242504,0.019225313,0.911540542,2.103437712,2.76391913,1.181969486
39.25 ,199.85 ,1576.1785,1.007380209,2.292329212,3.16671206,1.338831507,0.018195566,0.027476491,0.020622845,0.01580182
38.91 ,252.37 ,1244.0808,1.440351237,2.325332313,3.276909442,1.191480436,0.022346835,0.02510179,0.038824276,0.020389281
39.48 ,284.83 ,837.624,2.265491075,1.582437805,3.254666992,1.173699902,0.026487463,0.026293309,0.03137529,0.028011572
38.57 ,304.90 ,437.3052,2.46151001,1.089935386,3.320875526,1.008557238,0.048810154,0.049581819,0.057428633,0.065377715
38.80 ,29.88 ,417.9175,0.076592317,0.064237149,0.085182565,0.077166298,2.40243823,1.064237263,3.238552382,1.140994964
39.36 ,62.34 ,437.9649,0.051697963,0.064917194,0.082592346,0.064313788,2.424076524,1.19738014,3.252339339,1.027284653
40.48 ,127.26 ,721.9388,0.04037325,0.041358788,0.075700548,0.056220694,0.994334188,2.578599897,3.219644212,0.835392322
39.59 ,147.33 ,1266.9484,0.021609748,0.020929429,0.032193197,0.021587285,1.019849171,2.496288504,3.220131624,1.005851292
39.81 ,232.31 ,1308.4353,0.984712869,2.55214092,3.256730644,0.90306544,0.020029659,0.018954533,0.024215193,0.017953983
40.37 ,264.77 ,1152.6019,1.830716231,2.142789895,3.192364273,1.120739914,0.022046325,0.019132683,0.022762389,0.021919338
40.04 ,317.29 ,349.5835,2.559931294,1.023858542,3.265438273,0.890344644,0.062674773,0.064931019,0.079747805,0.080527024
40.26 ,42.28 ,383.7838,0.063445846,0.064494625,0.093553225,0.084082431,2.540185632,0.976477011,3.224794803,0.821310656
39.93 ,94.80 ,551.0663,0.044053329,0.04638474,0.087959101,0.050855736,1.813748823,2.080134605,3.199875647,1.063772435
41.36 ,107.20 ,607.6598,0.044640705,0.04761809,0.087140369,0.056168873,1.4930215,2.388518597,3.166338726,1.051137397
41.03 ,159.72 ,1638.0151,0.017377116,0.018131671,0.026925718,0.01892594,1.032279106,2.391295642,3.089875053,1.201004172
40.70 ,212.25 ,1556.0119,1.025915549,2.542300958,3.184251018,1.03078338,0.017856551,0.017642293,0.02073074,0.016751295
