theta,phi,require time (s),NN,NP,NT,NB,PN,PP,PT,PB
17.61,63.46,759.88,0.13684317,0.15127334,0.234922312,0.180149731,2.995172531,2.165247814,7.794801172,2.810020127
18.54,233.43,1270.17,2.004061872,3.27106266,7.812211788,2.928334666,0.097010024,0.097688618,0.159280556,0.125107625
18.98,318.41,1036.69,3.239348812,2.069190366,7.796633813,2.970689105,0.086526905,0.096347119,0.118905373,0.096656942
19.42,43.4,744.1,0.126456929,0.146285489,0.212830553,0.159595595,3.240147369,1.964005497,7.716320521,2.830910803
18.76,95.92,728.19,0.147214817,0.158889493,0.258975692,0.197319333,2.580879481,2.888044618,7.755686611,2.644395079
19.84,128.38,615.67,0.179640529,0.181496169,0.255305756,0.179759396,1.974025085,3.36106023,7.733266235,2.837868664
20.26,213.37,1501.01,1.966437628,3.381723082,7.659888149,2.963603249,0.075944961,0.074138295,0.117652661,0.091457365
19.63,265.89,1119.95,2.72859973,3.010848263,7.800426062,2.792252584,0.103647351,0.105462477,0.190504782,0.143184435
20.47,75.86,702.12,0.154632398,0.166369961,0.272384413,0.208143407,3.138561691,2.573919498,7.75239081,2.855372003
21.47,108.32,693.55,0.158846976,0.170243017,0.27634813,0.215176481,2.4544399,3.388821462,7.728350603,2.911870183
20.87,160.84,831.9,0.229920589,0.281275793,0.171390906,0.118525542,1.934353271,3.145291182,7.393336151,2.858580769
21.07,23.33,539.89,0.593035641,0.196774874,0.202498138,0.159829694,3.236061823,2.031954727,7.499494824,2.979064651
21.27,245.83,1000.52,2.335454128,3.514410919,7.813009117,3.034135374,0.10519412,0.107250296,0.193593428,0.146435481
20.67,298.35,992.2,3.404342946,2.351505673,7.828864788,3.048919808,0.083932442,0.101380293,0.127978227,0.09516004
22.43,140.78,665.42,0.17711605,0.165445992,0.260358394,0.160735198,1.972594264,3.636921795,7.634258988,2.80614194
21.86,193.3,2269.51,1.948516818,3.155767842,7.315285751,3.114285147,0.056636525,0.060384228,0.077686001,0.057695269
22.24,278.29,988.04,3.244508501,2.929705072,7.767883559,2.998901502,0.105062039,0.115732016,0.205474222,0.152494677
21.66,330.81,806.74,3.447384877,2.18235262,7.640811962,3.088374049,0.242161086,0.126042096,0.146115094,0.120775643
22.05,55.8,685.72,0.145926984,0.170135495,0.263139341,0.193952685,3.538462544,2.167316905,7.730003481,2.897580308
22.8,225.76,1211.54,1.986319166,3.752607739,7.706094446,2.935215575,0.093747993,0.090254592,0.158542032,0.118017233
23.17,310.75,905.67,3.745408821,2.199704141,7.761792599,3.015116007,0.098178031,0.108530044,0.132753577,0.109427877
22.98,88.26,680.42,0.163746642,0.175219185,0.295842213,0.226690269,3.089806647,3.075776683,7.656344618,2.795219242
23.88,120.72,670.38,0.160091782,0.167230018,0.275104115,0.211211744,2.218426823,3.816488136,7.671924237,2.911575661
24.23,205.7,2215.35,2.060106038,3.708457346,7.486207896,3.094194753,0.057933061,0.058900233,0.082272031,0.06131174
23.71,258.23,848.38,2.819686217,3.562973824,7.740092028,3.103089178,0.120296618,0.123694368,0.216751484,0.160154278
23.53,35.73,708.75,0.14035921,0.154080774,0.207200207,0.168043269,3.677000576,2.095487057,7.584135646,2.881706293
24.41,68.19,581.94,0.170336932,0.18303832,0.300445815,0.230937504,3.68096426,2.562976626,7.663492169,2.947476566
25.26,100.66,566.37,0.175342675,0.188278379,0.316127926,0.239274627,2.883656944,3.608688064,7.613544618,3.011894131
24.75,153.18,1028.64,0.119053315,0.108674045,0.213039862,0.124009753,2.055380132,3.735912872,7.433083318,2.915464347
25.09,238.16,1012.8,2.271301387,4.009497267,7.703513261,2.994336343,0.111983428,0.112364788,0.196561104,0.147702834
24.58,290.69,1037.2,3.734769612,2.709328448,7.743527224,3.126439185,0.090643354,0.119336891,0.161436425,0.113170917
25.43,323.15,810.96,3.962871011,2.261047755,7.63482195,2.993045528,0.12585246,0.130870916,0.156775376,0.135824198
26.09,133.12,754.92,0.147500979,0.150075299,0.250446839,0.192260751,2.021099478,4.082267864,7.573217724,2.760036945
26.41,218.1,1491.01,2.088854104,4.136898763,7.563542464,2.896483568,0.072107777,0.067417663,0.102290843,0.075903497
25.92,270.63,782.9,3.353910524,3.422169029,7.632946058,3.101986578,0.124863626,0.126790277,0.219949842,0.146591683
25.76,48.13,696.24,0.147704613,0.170665574,0.236955712,0.183021981,3.979633175,2.124262589,7.615634434,2.801745237
27.36,113.06,567.99,0.174355821,0.185185953,0.315956399,0.241648665,2.569633161,4.098414036,7.570756245,2.963905802
26.89,165.58,969.62,0.198634953,0.281599387,0.155949319,0.103741184,2.011419999,3.609368001,7.132635138,3.105522384
27.21,250.56,797.93,2.751671911,4.08869688,7.638753117,3.155210375,0.132529047,0.130969881,0.217870416,0.176807302
27.05,28.07,651.99,0.192568805,0.172133976,0.223866459,0.188135127,3.984012308,2.216334065,7.428294432,3.012569065
26.73,303.09,807.55,4.128196391,2.444616765,7.687919524,3.001590968,0.10499182,0.11377722,0.141024545,0.118660794
26.57,80.59,531.38,0.178181456,0.190737097,0.322651666,0.248442548,3.622803605,3.083699114,7.560645919,3.044433087
